"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2021","Rider",68.6587,193,67.8524,208,97.9739,234,99.4453,227,107.272,292,113.469,349,-14.0237,316
"2021","Robert Morris",68.4276,201,67.5239,225,101.452,166,98.3407,244,112.728,338,110.059,317,-11.7181,292
"2021","Rutgers",68.5249,198,67.7511,213,101.449,167,108.652,75,99.1205,110,90.6093,17,18.043,34
"2021","Sacramento St.",66.0185,310,65.564,313,103.632,121,101.815,180,109.763,321,110.766,323,-8.95053,260
"2021","Sacred Heart",67.9595,228,66.5309,272,101.116,177,98.4211,241,108.677,310,113.109,347,-14.6882,321
"2021","Saint Joseph's",72.9381,34,72.3127,29,95.6623,276,101.454,185,109.87,322,104.721,226,-3.26699,196
"2021","Saint Louis",68.4419,200,67.7691,212,110.041,27,111.052,41,94.8172,37,95.466,60,15.5861,47
"2021","Saint Mary's",65.8063,316,63.0995,348,97.7969,241,101.675,182,95.0979,43,90.4791,16,11.1961,76
"2021","Saint Peter's",68.012,225,66.9684,252,92.9223,315,90.5306,338,90.1816,8,95.6438,62,-5.11317,218
"2021","Sam Houston St.",73.4427,28,71.1664,56,101.468,165,100.924,197,99.3547,117,102.182,179,-1.25726,184
"2021","Samford",74.3736,15,72.9634,18,95.2185,285,96.5024,276,105.062,259,105.701,250,-9.19875,261
"2021","San Diego",72.2493,51,70.4518,86,90.9599,331,96.9622,270,105.742,273,100.94,146,-3.97763,203
"2021","San Diego St.",66.8552,281,66.0504,298,109.872,29,110.844,45,91.4916,10,89.4951,10,21.3487,19
"2021","San Francisco",69.5405,160,67.9825,199,102.801,143,106.508,105,100.103,135,98.397,104,8.11076,100
"2021","San Jose St.",71.6579,73,72.0266,39,89.7785,334,95.7924,282,114.633,342,111.963,337,-16.171,330
"2021","Santa Clara",71.8079,68,70.687,81,95.8519,274,99.8827,222,98.7626,98,98.8676,114,1.01515,155
"2021","Seattle",70.4265,114,69.0374,144,98.9639,215,97.8707,250,101.524,173,104.113,212,-6.24233,230
"2021","Seton Hall",67.7765,234,66.7473,264,103.526,123,110.421,52,101.203,162,95.6373,61,14.784,52
"2021","Siena",66.1507,303,66.4786,273,102.04,155,99.741,225,95.019,41,101.607,162,-1.86638,187
